log Kd (L/kg),log D (L/kg),molecular weight (g/mol),positive charges,negative charges,Log S (mol/L) at pH 7,number of aromatic rings,molecular volume  (cm3/mol/100),estimated log KOC  (L/kg),surface area (m2/g),O wt%,delta_PZCpH,PZC
5.086359830674748,0.18,314.05,0,1,-4.59,0,1.22,2.45,1004.0,3.5,-0.9500000000000002,5.95
5.152288344383057,0.251,299.1,0,1,-3.36,0,1.1711,2.26,1004.0,3.5,-0.9500000000000002,5.95
5.235528446907549,-4.5,290.06,0,1,-3.39,0,1.6,2.96,1004.0,3.5,-0.9500000000000002,5.95
5.305351369446623,0.88,364.06,0,1,-5.42,0,1.4,3.77,1004.0,3.5,-0.9500000000000002,5.95
5.619093330626742,1.65,400.11,0,1,-5.0,0,1.52,3.3,1004.0,3.5,-0.9500000000000002,5.95
5.4281347940287885,-0.54,264.05,0,1,-3.72,0,1.05,2.43,1099.0,0.53,3.0,9.9
5.545307116465824,0.18,314.05,0,1,-4.59,0,1.22,2.45,1099.0,0.53,3.0,9.9
6.058805486675907,0.251,299.1,0,1,-3.36,0,1.1711,2.26,1099.0,0.53,3.0,9.9
6.090575455222202,-4.5,290.06,0,1,-3.39,0,1.6,2.96,1099.0,0.53,3.0,9.9
6.110252917353403,0.88,364.06,0,1,-5.42,0,1.4,3.77,1099.0,0.53,3.0,9.9
6.279210512601395,1.65,400.11,0,1,-5.0,0,1.52,3.3,1099.0,0.53,3.0,9.9
6.222716471147583,-0.54,264.05,0,1,-3.72,0,1.05,2.43,1079.0,0.61,2.84,9.74
6.528531060635411,0.18,314.05,0,1,-4.59,0,1.22,2.45,1079.0,0.61,2.84,9.74
6.663700925389648,0.251,299.1,0,1,-3.36,0,1.1711,2.26,1079.0,0.61,2.84,9.74
6.119915410257991,-4.5,290.06,0,1,-3.39,0,1.6,2.96,1079.0,0.61,2.84,9.74
6.7313469755459545,0.88,364.06,0,1,-5.42,0,1.4,3.77,1079.0,0.61,2.84,9.74
6.823409014892545,1.65,400.11,0,1,-5.0,0,1.52,3.3,1079.0,0.61,2.84,9.74
6.2748503200166645,0.18,314.05,0,1,-4.59,0,1.22,2.45,1067.0,7.8,1.9000000000000004,8.8
6.125806458139527,0.251,299.1,0,1,-3.36,0,1.1711,2.26,1067.0,7.8,1.9000000000000004,8.8
5.725911632295048,-0.54,264.05,0,1,-3.72,0,1.05,2.43,1067.0,7.8,1.9000000000000004,8.8
4.68304703823885,-1.22,214.039,0,1,-2.82,0,0.8705,1.81,1067.0,7.8,1.9000000000000004,8.8
5.540329474790874,0.18,314.05,0,1,-4.59,0,1.22,2.45,1064.0,8.8,1.799999999999999,8.7
