log Kd (L/kg);log D (L/kg);molecular weight (g/mol);positive charges;negative charges;Log S (mol/L) at pH 7;number of aromatic rings;molecular volume  (cm3/mol/100);estimated log KOC  (L/kg);surface area (m2/g);O wt%;delta_PZCpH
5.86E+00;-1.45;330.7;0;1;-3.18;1;2.06;2.04;2142;9.19;-2.1
5.39E+00;-1.45;330.7;0;1;-3.18;1;2.06;2.04;1757;8.42;-0.7
5.77E+00;1.85;250.3;0;1;-0.73;1;2.4;2.64;2142;9.19;-2.1
5.42E+00;1.85;250.3;0;1;-0.73;1;2.4;2.64;1757;8.42;-0.7
5.93E+00;0.6;733.9;1;0;-0.27;0;6.07;2.75;2142;9.19;-2.1
5.70E+00;0.6;733.9;1;0;-0.27;0;6.07;2.75;1757;8.42;-0.7
5.84E+00;-0.86;331.347;1;1;-2.27;1;2.3047;1.55;2142;9.19;-2.1
5.28E+00;-0.86;331.347;1;1;-2.27;1;2.3047;1.55;1757;8.42;-0.7
5.78E+00;1.38;296.2;0;1;-1.3;2;2.07;2.66;2142;9.19;-2.1
5.32E+00;1.38;296.2;0;1;-1.3;2;2.07;2.66;1757;8.42;-0.7
5.91E+00;0.97;361.8;0;1;-1.69;2;2.87;2.62;2142;9.19;-2.1
5.67E+00;0.97;361.8;0;1;-1.69;2;2.87;2.62;1757;8.42;-0.7
6.22E+00;2.77;236.3;0;0;-3.79;2;1.87;3.12;2142;9.19;-2.1
5.58E+00;2.77;236.3;0;0;-3.79;2;1.87;3.12;1757;8.42;-0.7
6.25E+00;-3.06;749;1;0;0.38;0;6.33;3.5;2142;9.19;-2.1
5.91E+00;-3.06;749;1;0;0.38;0;6.33;3.5;1757;8.42;-0.7
5.31E+00;-1.64;239.2;1;0;1.2;1;2.08;1.52;1276;1.7;1.6
4.83E+00;-1.64;239.2;1;0;1.2;1;2.08;1.52;850;5.66;0.9
5.51E+00;0.14;253.28;0;1;-1.03;1;1.72;2.41;1276;1.7;1.6
5.11E+00;0.14;253.28;0;1;-1.03;1;1.72;2.41;850;5.66;0.9
5.38E+00;0.92;290.3;1;0;-2.42;1;2.21;2.86;1276;1.7;1.6
4.98E+00;0.92;290.3;1;0;-2.42;1;2.21;2.86;850;5.66;0.9
5.51E+00;0.74;277.4;1;0;-0.57;1;2.62;2.94;1276;1.7;1.6
4.96E+00;0.74;277.4;1;0;-0.57;1;2.62;2.94;850;5.66;0.9
5.43E+00;0.59;263.4;1;0;-0.31;1;2.36;3.24;1276;1.7;1.6
4.81E+00;0.59;263.4;1;0;-0.31;1;2.36;3.24;850;5.66;0.9
5.22E+00;-0.8;361.4;0;0;-2.21;1;2.44;1.09;1276;1.7;1.6
4.28E+00;-0.8;361.4;0;0;-2.21;1;2.44;1.09;850;5.66;0.9
5.72E+00;-0.47;267.3;1;0;0.3;1;2.59;2.06;1276;1.7;1.6
5.21E+00;-0.47;267.3;1;0;0.3;1;2.59;2.06;850;5.66;0.9
5.56E+00;-1.24;267.3;0;1;-1.47;1;3.3;1.23;1276;1.7;1.6
5.11E+00;-1.24;267.3;0;1;-1.47;1;3.3;1.23;850;5.66;0.9
4.94E+00;0.72;254.3;0;1;-0.85;2;2.12;2.59;1276;1.7;1.6
4.73E+00;0.72;254.3;0;1;-0.85;2;2.12;2.59;850;5.66;0.9
4.95E+00;-0.44;791.1;0;0;-2.24;1;3.64;1;1276;1.7;1.6
4.28E+00;-0.44;791.1;0;0;-2.24;1;3.64;1;850;5.66;0.9
5.25E+00;-1.45;330.7;0;1;-3.18;1;2.06;2.04;1276;1.7;1.6
4.99E+00;-1.45;330.7;0;1;-3.18;1;2.06;2.04;850;5.66;0.9
5.54E+00;1.85;250.3;0;1;-0.73;1;2.4;2.64;1276;1.7;1.6
5.00E+00;1.85;250.3;0;1;-0.73;1;2.4;2.64;850;5.66;0.9
5.47E+00;0.6;733.9;1;0;-0.27;0;6.07;2.75;1276;1.7;1.6
5.09E+00;0.6;733.9;1;0;-0.27;0;6.07;2.75;850;5.66;0.9
4.95E+00;-0.86;331.347;1;1;-2.27;1;2.3047;1.55;1276;1.7;1.6
4.65E+00;-0.86;331.347;1;1;-2.27;1;2.3047;1.55;850;5.66;0.9
5.51E+00;1.38;296.2;0;1;-1.3;2;2.07;2.66;1276;1.7;1.6
4.98E+00;1.38;296.2;0;1;-1.3;2;2.07;2.66;850;5.66;0.9
5.50E+00;0.97;361.8;0;1;-1.69;2;2.87;2.62;1276;1.7;1.6
4.96E+00;0.97;361.8;0;1;-1.69;2;2.87;2.62;850;5.66;0.9
5.60E+00;2.77;236.3;0;0;-3.79;2;1.87;3.12;1276;1.7;1.6
5.14E+00;2.77;236.3;0;0;-3.79;2;1.87;3.12;850;5.66;0.9
5.46E+00;-3.06;749;1;0;0.38;0;6.33;3.5;1276;1.7;1.6
4.86E+00;-3.06;749;1;0;0.38;0;6.33;3.5;850;5.66;0.9
4.68E+00;-1.64;239.2;1;0;1.2;1;2.08;1.52;1183;4.33;2
4.94E+00;-1.64;239.2;1;0;1.2;1;2.08;1.52;933;3.35;3.5
4.83E+00;0.14;253.28;0;1;-1.03;1;1.72;2.41;1183;4.33;2
4.92E+00;0.14;253.28;0;1;-1.03;1;1.72;2.41;933;3.35;3.5
5.04E+00;0.92;290.3;1;0;-2.42;1;2.21;2.86;1183;4.33;2
4.99E+00;0.92;290.3;1;0;-2.42;1;2.21;2.86;933;3.35;3.5
4.88E+00;0.74;277.4;1;0;-0.57;1;2.62;2.94;1183;4.33;2
5.06E+00;0.74;277.4;1;0;-0.57;1;2.62;2.94;933;3.35;3.5
4.67E+00;0.59;263.4;1;0;-0.31;1;2.36;3.24;1183;4.33;2
4.95E+00;0.59;263.4;1;0;-0.31;1;2.36;3.24;933;3.35;3.5
4.27E+00;-0.8;361.4;0;0;-2.21;1;2.44;1.09;1183;4.33;2
